teamName,Season,Fouls_Per90,Fouled_Per90,teamId
Arsenal,2022-2023,9.81578947368421,11.447368421052632,13.0
Aston Villa,2022-2023,10.973684210526315,13.105263157894736,24.0
Bournemouth,2022-2023,10.289473684210526,9.605263157894736,183.0
Brentford,2022-2023,9.31578947368421,10.5,189.0
Brighton,2022-2023,11.236842105263158,10.710526315789474,211.0
Chelsea,2022-2023,10.447368421052632,12.157894736842104,15.0
Crystal Palace,2022-2023,11.736842105263158,12.605263157894736,162.0
Everton,2022-2023,10.421052631578947,10.052631578947368,31.0
Fulham,2022-2023,10.81578947368421,10.657894736842104,170.0
Leeds United,2022-2023,12.289473684210526,10.657894736842104,19.0
Leicester City,2022-2023,10.789473684210526,10.447368421052632,14.0
Liverpool,2022-2023,10.657894736842104,8.447368421052632,26.0
Manchester City,2022-2023,9.131578947368421,10.105263157894736,167.0
Manchester Utd,2022-2023,11.157894736842104,7.815789473684211,32.0
Newcastle Utd,2022-2023,10.68421052631579,10.5,23.0
Nott'ham Forest,2022-2023,11.710526315789474,10.263157894736842,174.0
Southampton,2022-2023,11.31578947368421,9.947368421052632,18.0
Tottenham,2022-2023,11.157894736842104,9.289473684210526,30.0
West Ham,2022-2023,9.526315789473685,8.31578947368421,29.0
Wolves,2022-2023,12.18421052631579,10.236842105263158,161.0
Arsenal,2023-2024,10.289473684210526,10.368421052631579,13.0
Aston Villa,2023-2024,10.842105263157896,12.447368421052632,24.0
Bournemouth,2023-2024,13.342105263157896,9.894736842105264,183.0
Brentford,2023-2024,10.131578947368421,11.026315789473685,189.0
Brighton,2023-2024,10.894736842105264,11.947368421052632,211.0
Burnley,2023-2024,11.289473684210526,9.289473684210526,184.0
Chelsea,2023-2024,11.736842105263158,11.868421052631579,15.0
Crystal Palace,2023-2024,12.026315789473685,11.236842105263158,162.0
Everton,2023-2024,12.026315789473685,9.5,31.0
Fulham,2023-2024,10.105263157894736,9.578947368421053,170.0
Liverpool,2023-2024,12.18421052631579,9.894736842105264,26.0
Luton Town,2023-2024,11.657894736842104,11.789473684210526,
Manchester City,2023-2024,7.605263157894737,10.789473684210526,167.0
Manchester Utd,2023-2024,10.552631578947368,8.947368421052632,32.0
Newcastle Utd,2023-2024,10.157894736842104,12.342105263157896,23.0
Nott'ham Forest,2023-2024,11.263157894736842,9.763157894736842,174.0
Sheffield Utd,2023-2024,11.131578947368421,8.368421052631579,163.0
Tottenham,2023-2024,11.18421052631579,13.421052631578947,30.0
West Ham,2023-2024,10.263157894736842,10.31578947368421,29.0
Wolves,2023-2024,12.526315789473685,10.657894736842104,161.0
Arsenal,2024-2025,10.552631578947368,10.657894736842104,13.0
Aston Villa,2024-2025,10.68421052631579,13.131578947368421,24.0
Bournemouth,2024-2025,13.81578947368421,10.526315789473685,183.0
Brentford,2024-2025,8.421052631578947,8.921052631578947,189.0
Brighton,2024-2025,11.526315789473685,10.81578947368421,211.0
Chelsea,2024-2025,11.473684210526315,11.68421052631579,15.0
Crystal Palace,2024-2025,10.973684210526315,10.605263157894736,162.0
Everton,2024-2025,11.31578947368421,10.105263157894736,31.0
Fulham,2024-2025,11.368421052631579,9.447368421052632,170.0
Ipswich Town,2024-2025,11.31578947368421,10.631578947368421,165.0
Leicester City,2024-2025,11.052631578947368,10.342105263157896,14.0
Liverpool,2024-2025,11.31578947368421,9.447368421052632,26.0
Manchester City,2024-2025,7.552631578947368,10.052631578947368,167.0
Manchester Utd,2024-2025,10.605263157894736,9.763157894736842,32.0
Newcastle Utd,2024-2025,10.368421052631579,11.842105263157896,23.0
Nott'ham Forest,2024-2025,10.552631578947368,11.026315789473685,174.0
Southampton,2024-2025,12.078947368421053,11.078947368421053,18.0
Tottenham,2024-2025,11.736842105263158,12.710526315789474,30.0
West Ham,2024-2025,11.657894736842104,10.447368421052632,29.0
Wolves,2024-2025,12.631578947368421,11.18421052631579,161.0
Arsenal,2025-2026,11.2,9.8,13.0
Aston Villa,2025-2026,10.4,12.8,24.0
Bournemouth,2025-2026,11.8,11.4,183.0
Brentford,2025-2026,12.8,8.6,189.0
Brighton,2025-2026,13.4,12.6,211.0
Burnley,2025-2026,9.4,9.0,184.0
Chelsea,2025-2026,10.8,11.8,15.0
Crystal Palace,2025-2026,10.4,10.0,162.0
Everton,2025-2026,10.4,12.4,31.0
Fulham,2025-2026,15.0,12.8,170.0
Leeds United,2025-2026,10.2,12.2,19.0
Liverpool,2025-2026,9.8,10.8,26.0
Manchester City,2025-2026,9.2,11.6,167.0
Manchester Utd,2025-2026,10.0,12.0,32.0
Newcastle Utd,2025-2026,12.6,12.4,23.0
Nott'ham Forest,2025-2026,10.8,10.0,174.0
Sunderland,2025-2026,9.2,9.2,16.0
Tottenham,2025-2026,12.6,9.0,30.0
West Ham,2025-2026,9.2,8.2,29.0
Wolves,2025-2026,14.4,9.4,161.0
